一般的な製品番号,略称,症状
5,安中散,"胃痛,胸焼け,胃炎,逆流性食道炎,"
115,胃苓湯,"下痢,食あたり,急性胃腸炎,嘔吐,"
135,茵ちん蒿湯,"黄疸,蕁麻疹,口内炎,"
117,茵ちん五苓散,"黄疸,蕁麻疹,口内炎,下痢,"
106,温経湯,"月経不順,月経困難,更年期障害,PMS,生理不順,生理痛,冷え,のぼせ,ほてり,手のほてり,手のひらのほてり,ホットフラッシュ,"
57,温清飲,"アトピー,皮膚炎,痒み,温まるとかゆくなる,乾燥肌,"
28,越婢加朮湯,"腎炎,浮腫,汗,皮膚炎,水疱,結膜炎,翼状片,湿疹,"
98,黄耆建中湯,"汗かき,汗をかく,寝汗,疲れやすい,疲労感,虚弱体質,"
121,黄ごん湯,"下痢,食あたり,急性胃腸炎,腹痛,発熱"
15,黄連解毒湯,"鼻血,酒さ,痒み,口内炎,不眠,二日酔い,"
120,黄連湯,"口臭,腹痛,吐き気,嘔吐,"
3,乙字湯,"キレ痔,イボ痔,痔,脱肛,切れ痔,痔ろう,"
S-07,葛根加朮附湯,"首こり,肩こり,首の痛み,肩の痛み,"
1,葛根湯,"風邪,咳,鼻水,悪寒,発熱,"
2,葛根湯加川きゅう辛夷,"副鼻腔炎,蓄膿症,鼻づまり,後鼻漏,"
137,加味帰脾湯,"不眠,精神不安,神経症,怒りやすい,イライラ,憂鬱,抑うつ,ノイローゼ,ヒステリー,"
24,加味逍遙散,"月経不順,月経困難,更年期障害,PMS,ほてり,のぼせ,ホットフラッシュ,イライラ,自律神経失調症,不眠,"
401,甘草湯,"激しい咳,喉の痛み,"
72,甘麦大棗湯,"夜泣き,ヒステリー,ノイローゼ,抑うつ,不安症,神経過敏,"
324,桔梗石膏,"喉の腫れ,喉の痛み,扁桃炎,咽頭炎,"
138,桔梗湯,"喉の痛み,扁桃炎,咽頭炎,"
65,帰脾湯,"不眠,思い悩み,憂鬱,抑うつ,ノイローゼ,ヒステリー,"
77,きゅう帰膠艾湯,"出血,不正出血,下血,子宮筋腫,"
230,きゅう帰調血飲,"産後の神経症,月経不順,産後,産後の症状,悪露,子宮筋腫,"
311,九味檳榔湯,"動悸,息苦しい,ふくらはぎが痛い,"
50,荊芥連翹湯,"蓄膿症,慢性鼻炎,慢性扁桃炎,鼻炎,副鼻腔炎,中耳炎,"
TY-026,桂枝加黄耆湯,"上半身の汗,寝汗,汗かき,多汗症,"
TY-027,桂枝加葛根湯,"肩こり,首こり,頭痛,"
TY-028,桂枝加厚朴杏仁湯,"よくわからない風邪,"
134,桂枝加芍薬大黄湯,"過敏性腸症候群,腹痛,便秘,"
60,桂枝加芍薬湯,"腹部膨満感,過敏性腸症候群,腹痛,おなかが張る,下痢,"
18,桂枝加(苓)朮附湯,"神経痛,坐骨神経痛,関節痛,手足の痛み,腕の痛み,膝痛,"
26,桂枝加竜骨牡蛎湯,"夜尿症,性欲異常,ノイローゼ,不眠,性欲減退,インポテンツ,夢遊病,"
45,桂枝湯,"疲れやすい,虚弱体質,風邪を引く前の段階,"
82,桂枝人参湯,"冷え,腹痛,下痢,頭痛,"
25,桂枝茯苓丸,"月経困難,更年期障害,ホットフラッシュ,のぼせ,月経不順,生理痛,PMS,肩こり,腰痛,打撲,捻挫,子宮筋腫,"
125,桂枝茯苓丸加よく苡仁,"ニキビ,Uゾーンのニキビ,生理周期に伴うニキビ,PMS,"
180,桂芍知母湯,"リウマチ,神経痛,関節の腫れ,関節痛,"
128,啓脾湯,"下痢,泡状の下痢,食欲不振,胃腸虚弱,"
TY-037,桂麻各半湯,"風邪,のどチクの風邪,"
70,香蘇散,"落ち込み,不安,抑うつ,耳のつまり,難聴,魚による蕁麻疹,ノイローゼ,自律神経失調症,更年期障害うつ,"
95,五虎湯,"気管支喘息,咳,咳こみ,喘鳴,ゼエゼエ,痰,痔,"
63,五積散,"頭痛,腰痛,腰の冷え,腹痛,生理痛,"
107,牛車腎気丸,"排尿困難,頻尿,足がだるい,足の浮腫,夜間頻尿,腰痛,耳鳴り,男性更年期障害,"
31,呉茱萸湯,"冷えて頭痛,偏頭痛,片頭痛,気圧痛,頭痛,吐き気,嘔吐,"
56,五淋散,"頻尿,膀胱炎,排尿痛,"
17,五苓散,"気圧痛,浮腫,吐き気,乗り物酔い,低気圧が苦手,頭痛,めまい,嘔吐,下痢,雨の日だるい,"
73,柴陥湯,"咳による胸痛,胸の痛み,咳,気管支炎,肺炎,"
12,柴胡加竜骨牡蛎湯,"不眠,悪夢,頭痛,肩こり,めまい,耳鳴り,イライラ,緊張,ノイローゼ,ヒステリー,神経症,脱毛症,"
11,柴胡桂枝乾姜湯,"神経症,不眠,落ち込み,不安症,首から上の汗,のぼせ,更年期障害,自律神経失調症,顔の汗,頭の汗,ノイローゼ,ヒステリー,"
10,柴胡桂枝湯,"アレルギー,喘息,風邪,上半身の汗,イライラ,思い悩み,ノイローゼ,ヒステリー,"
80,柴胡清肝湯,"小児,虚弱体質,怒りやすい,イライラ,神経質,神経過敏,わがまま,ノイローゼ,不安症,ヒステリー,"
96,柴朴湯,"せき,不安症,ノイローゼ,ストレス,落ち込み,思い悩み,ガス溜まり,抑うつ,繊細,不眠,げっぷ,食欲不振,嘔吐,"
114,柴苓湯,"喉の渇き,下痢,口が苦い,吐き気,嘔吐,浮腫,お腹の風邪,"
113,三黄瀉心湯,"不眠,便秘,のぼせ,ノイローゼ,口内炎,口臭,"
103,酸棗仁湯,"不眠,疲れてるのに不眠,不安,憂鬱,寝たいのに寝れない,疲労,"
121,三物黄ごん湯,"手のひらのほてり,手足のほてり,手が熱い,体が熱い,掌蹠膿疱症,更年期障害,自律神経失調症,"
93,滋陰降火湯,"夜の咳,寝ると咳,乾燥肌,痰,濃厚な痰,激しい咳,"
92,滋陰至宝湯,"濃い痰,濃厚な痰,咳,PMS,月経不順,"
35,四逆散,"ヒステリー,ストレス,頭痛,イライラ,手足の冷え,手汗,便秘と下痢を繰り返す,残便感,抑うつ,肩こり,過緊張,不眠,ノイローゼ,"
