一般的な製品番号,略称,症状
5,安中散,"胃痛,腹痛,胸やけ,げっぷ,食欲不振,はきけ,胃炎,胃アトニー,冷えによる腹痛,胃痛,胸やけ,生理痛,刺すような痛み,冷えて痛む,食欲不振,みぞおちの痛み,疲れやすい,疲労感,貧血,悪心,吐き気,嘔吐,慢性胃炎,神経性胃炎,"
115,胃苓湯,"水瀉性の下痢,口渇,尿量減少,食あたり,暑気あたり,冷え腹,急性胃腸炎,腹痛,食べ過ぎ,胃もたれ,食欲不振,吐き気,悪心,みぞおちのつかえ,げっぷ,嘔吐,腹部膨満感,お腹の張り,口渇,口の渇き,下痢,尿が少ない,顔のむくみ,食あたりの下痢,"
135,茵ちん蒿湯,"尿量減少,やや便秘,黄疸,じんましん,口内炎,口の渇き,口渇,黄疸,尿が赤い,落ち着かない,頭から汗,目の充血,かゆみ,発赤,嘔吐,不眠,動悸,便秘,お腹の張り,腹部膨満感,尿が少ない,むくみ,"
117,茵ちん五苓散,"のどが渇く,尿が少ない,じんましん,二日酔,むくみ,口の渇き,口渇,尿が少ない,汗が出る,むくみ,頭痛,のぼせ,動悸,下痢,嘔吐,悪心,吐き気,めまい,黄疸,尿が赤い,落ち着かない,手足がほてる,口が苦い,口が粘る,"
106,温経湯,"手のほてり,足の裏のほてり,唇がかわく,月経不順,月経困難,更年期障害,不眠,神経症,湿疹,足腰の冷え,しもやけ,PMS,生理不順,生理痛,冷え,のぼせ,足の冷え,不妊症,手のほてり,顔のほてり,手荒れ,唇が乾く,口が渇く,貧血,腰痛,頭痛,感情不安定,悪心,嘔吐,下痢,上熱下寒,"
57,温清飲,"のぼせ,アトピー,皮膚炎,かゆみ,温めるとかゆくなる,乾燥肌,寝るとかゆくなる,入浴後にかゆくなる,夏に悪化,落屑,肌がはがれる,発赤,熱感,不眠,赤い皮膚炎,乾燥して赤い皮膚炎,"
28,越婢加朮湯,"湿疹,アトピー,皮膚炎,蕁麻疹,水泡ができる湿疹,口唇ヘルペス,口渇,むくみ,汗が出る,関節の腫れ,暑がり,体が熱い,かゆみ,頭痛,悪寒,発熱,寒気,尿が少ない,実証,咳,喘息,リウマチ,神経痛,"
98,黄耆建中湯,"虚弱体質,病後の衰弱,ねあせ,汗かき,汗が出る,寝汗,疲れやすい,疲労感,虚弱体質,だるい,驚きやすい,繊細,動悸,食欲不振,腹痛,精力減退,鼻血,小児の腹痛,腹筋の緊張,ベニヤ腹,のどが渇く,口の渇き,寝汗,微熱,手足のほてり,ほてる皮膚炎,"
121,黄ごん湯,"消化不良,嘔吐,下痢,下痢,食あたり,急性腸炎,消化不良,腹痛,テヌスムス,発熱,悪心,吐き気,嘔吐,めまい,口臭,口渇,口が渇く,落ち着かない,みぞおちのつかえ,"
15,黄連解毒湯,"いらいら,鼻出血,高血圧,不眠症,ノイローゼ,胃炎,二日酔,血の道症,めまい,動悸,湿疹,皮膚炎,皮膚?痒症,炎症,かゆみ,口内炎,血管炎,皮膚炎,かゆみ,ほてり,のぼせ,発赤,充血,落ち着かない,熱感,感情不安定,不安感,焦り,不眠,頭痛,動悸,二日酔い,鼻血,口の渇き,のどの渇き,"
120,黄連湯,"食欲不振,急性胃炎,二日酔,口内炎,口臭,落ち着かない,腹痛,悪心,吐き気,嘔吐,胃もたれ,胸やけ,のぼせ,頭痛,動悸,口内炎,急性胃腸炎,胃潰瘍,"
3,乙字湯,"キレ痔,イボ痔,痔,脱肛,いぼ痔,切れ痔,痔ろう,出血,かゆみ,"
S-07,葛根加朮附湯,"首こり,肩こり,手足の痛み,手足の冷え,頭痛,汗が出ない,首から上の湿疹,"
1,葛根湯,"風邪,寒気,咳,透明な鼻水,首こり,肩こり,体力がある,汗が出ない,10代,20代,30代,40代,痰,悪寒,発熱,節々の痛み,関節痛,身体痛,"
2,葛根湯加川きゅう辛夷,"慢性鼻炎,急性の副鼻腔炎,蓄膿,顔面痛なし,鼻づまり,臭いがわからない,臭いがしない,後鼻漏,鼻水が喉に落ちる,濃い鼻水,濃厚な鼻水,ネバネバした鼻水,鼻閉,"
137,加味帰脾湯,"虚弱体質,血色の悪い,貧血,不眠症,精神不安,神経症,怒りやすい,感情不安定,ほてり,思い悩み,不眠,つらいことがあった,泣きやすい,だるい,繊細,憂鬱,抑うつ,身内の不幸でつらい,動悸,胃腸が弱い,胃腸虚弱,食欲不振,食後だるい,貧血,疲れやすい,疲労感,ノイローゼ,ヒステリー,心の疲労,心身疲労,ショックなことがあった,心を痛めた,"
24,加味逍遙散,"疲れやすい,精神不安,冷え症,虚弱体質,月経不順,月経困難,更年期障害,血の道症,更年期,PMS,ほてり,のぼせ,ホットフラッシュ,生理不順,ストレス,精神的に不安定,イライラ,症状がころころ変わる,自律神経失調症,感情不安定,怒りやすい,抑うつ,憂鬱,繊細,神経質,足の冷え,頭痛,肩こり,動悸,不眠,便秘気味,"
401,甘草湯,"激しい咳,咽喉痛の緩解,のどの痛み,急なのどの痛み,急な症状,"
72,甘麦大棗湯,"夜泣き,ひきつけ,急激な精神的な変化,ヒステリー,ノイローゼ,女性,あくびが多い,抑うつ,焦り,焦燥感,不安感,神経過敏,寡黙,動悸,落ち着かない,理由もなく,イライラ,悲しい,感情不安定,"
324,桔梗石膏,"喉の腫れ,喉の痛み,痰切り,抗炎症,潤い,アトピー,扁桃炎,咽頭炎,喉の化膿,"
138,桔梗湯,"のどの痛み,痰,扁桃炎,咽頭炎,"
65,帰脾湯,"虚弱体質,血色の悪い,貧血,不眠症,思い悩み,不眠,つらいことがあった,泣きやすい,だるい,繊細,憂鬱,抑うつ,身内の不幸でつらい,動悸,胃腸が弱い,胃腸虚弱,食欲不振,食後だるい,貧血,疲れやすい,疲労感,ノイローゼ,ヒステリー,心の疲労,心身疲労,ショックなことがあった,心を痛めた,"
77,きゅう帰膠艾湯,"痔出血,出血,不正出血,下血,子宮筋腫,手足の冷え,流産しやすい,口の渇き,下腹部痛,疲れやすい,疲労感,だるい,"
230,きゅう帰調血飲,"産後の神経症,体力低下,月経不順,産後,産後の症状,貧血,悪露,子宮筋腫,補血作用,PMS,生理不順,生理痛,ほてり,頭痛,めまい,乾燥肌,口の渇き,疲れやすい,疲労感,腰痛,耳鳴り,"
311,九味檳榔湯,"便秘,動悸,息苦しい,ふくらはぎがだるい,ふくらはぎが痛い,むくみ,肩こり,繊細,憂鬱,疲れやすい,疲労感,脚がだるい,ノイローゼ,水毒の筋肉痛,気滞の筋肉痛,"
50,荊芥連翹湯,"蓄膿症,慢性鼻炎,慢性扁桃炎,にきび,10代,20代,体質改善,アレルギー,湿疹,ニキビ,鼻炎,副鼻腔炎,中耳炎,手汗,化膿,口の渇き,化膿,神経過敏,感情不安定,扁桃腺炎,炎症体質,"
TY-026,桂枝加黄耆湯,"あせも,上半身の汗,寝汗,汗かき,多汗症,のぼせ,"
TY-027,桂枝加葛根湯,"肩こり,首こり,頭痛,汗が出る,発熱,"
TY-028,桂枝加厚朴杏仁湯,"頭痛,発熱,汗が出る,風を嫌がる,風に当たるのが苦手,お腹の張り,風邪を引きやすい,よくわからない風邪,"
134,桂枝加芍薬大黄湯,"腹部膨満感,過敏性腸症候群,腹痛,おなかが張る,筋肉の痛み,しぶり腹,便秘,"
60,桂枝加芍薬湯,"腹部膨満感,過敏性腸症候群,腹痛,おなかが張る,筋肉の痛み,しぶり腹,下痢,"
18,桂枝加(苓)朮附湯,"神経痛,坐骨神経痛,関節痛,冷えると痛む,上半身の痛み,手足の痛み,腕の痛み,膝痛,手足の冷え,こわばり,寝汗,頭痛,発熱,寒気,リウマチ,関節炎,"
26,桂枝加竜骨牡蛎湯,"小児夜尿症,神経衰弱,性的神経衰弱,遺精,陰萎,動悸,お腹の動悸,抑うつ,性欲異常,のぼせ,逆上感,めまい,ノイローゼ,不眠症,性欲減退,性欲過亢進,インポテンツ,陰部の冷え,夜尿症,眠らない小児,小児の夢遊病,無気力,疲れやすい,疲労感,脱毛,寝ぼけ,冷や汗,驚きやすい,神経過敏,性行為の夢,夢精,おねしょ,寝汗,"
45,桂枝湯,"頭痛,風を嫌がる,風が当たるのが苦手,汗が出る,のぼせ,鼻血,目の充血,鼻づまり,疲れやすい,疲労感,虚弱体質,虚証,風邪を引きやすい,風邪を引く前の段階,胃腸の風邪,冷えによる腹痛,"
82,桂枝人参湯,"冷え,胃が弱い,よだれ,腹痛,食欲不振,胸のつかえ,顔色が悪い,顔が白い,手足の冷え,吐き気,悪心,嘔吐,胃酸の逆流,しゃっくり,お腹が空くが食べられない,お腹の冷え,悪寒,寒がり,むくみ,頭重,めまい,疲れやすい,疲労感,貧血,冷えると下痢,下痢すると腹痛が止む,しびれ,お腹が痛む下痢,のぼせ,頭痛,頭の汗,肩こり,汗をかく,鼻水,咳,発熱,悪寒,寒気,みぞおちの張り,"
25,桂枝茯苓丸,"月経困難,更年期障害,ホットフラッシュ,ほてり,のぼせ,生理不順,生理痛,PMS,頭痛,肩こり,足の冷え,むくみ,腰痛,打撲,捻挫,痔,静脈瘤,ヒステリー,ノイローゼ,不妊症,動悸,めまい,子宮筋腫,"
